country,indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
China,Beer,0.94,0.94,0.98,1.02,1.12,1.18,1.3,1.43,1.5,1.59
China,Wine,0.18,0.19,0.19,0.18,0.18,0.05,0.06,0.08,0.08,0.1
China,Spirits,1.99,1.78,1.81,1.78,1.75,1.67,1.88,2.31,2.64,3.25
China,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Colombia,All types,4.52,4.3,4.33,4.15,4.16,4.27,4.44,4.56,4.36,4.26
Colombia,Beer,2.8,2.52,2.65,2.58,2.58,2.76,2.95,3.1,2.99,2.88
Colombia,Wine,0.04,0.03,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.07
Colombia,Spirits,1.65,1.71,1.6,1.5,1.5,1.43,1.41,1.37,1.29,1.3
Colombia,Other alcoholic beverages,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02
Comoros,All types,0.11,0.11,0.1,0.33,0.35,0.24,0.25,0.16,0.12,0.17
Comoros,Beer,0.03,0.02,0.02,0.15,0.17,0.15,0.13,0.05,0.04,0.04
Comoros,Wine,0.04,0.03,0.03,0.06,0.07,0.02,0.02,0.04,0.02,0.02
Comoros,Spirits,0.04,0.05,0.05,0.12,0.11,0.06,0.09,0.07,0.06,0.1
Comoros,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Congo,All types,2.13,2.23,2.56,2.44,2.57,2.42,2.84,3.13,3.25,3.5
Congo,Beer,1.47,1.47,1.75,1.71,1.7,1.83,2.24,2.62,2.79,3.09
Congo,Wine,0.23,0.3,0.28,0.21,0.33,0.18,0.21,0.18,0.01,0.01
Congo,Spirits,0.43,0.46,0.53,0.52,0.54,0.41,0.38,0.31,0.43,0.39
Congo,Other alcoholic beverages,0,0,0,0,0,0,0.01,0.02,0.02,0.02
Cook Islands,All types,4.2,2.69,1.29,8.71,8.27,7.9,7.32,9.59,9.18,9.89
Cook Islands,Beer,0.48,1.27,0.57,2.53,3.14,2.81,2.7,2.99,2.4,3.1
Cook Islands,Wine,2.03,1,0.39,2.27,2.41,2.6,2.02,2.91,2.29,2.3
Cook Islands,Spirits,1.69,0.41,0.34,3.91,2.71,2.49,2.6,3.69,4.49,4.48
Cook Islands,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Costa Rica,All types,4.31,4.26,4.17,4.05,4.12,4.14,4.2,4.26,4.3,4.15
Costa Rica,Beer,2.25,2.24,2.23,2.25,2.24,2.3,2.35,2.44,2.5,2.48
Costa Rica,Wine,0.18,0.13,0.12,0.13,0.14,0.17,0.17,0.2,0.2,0.18
Costa Rica,Spirits,1.87,1.9,1.81,1.67,1.7,1.63,1.64,1.58,1.55,1.45
Costa Rica,Other alcoholic beverages,0,0,0,0,0.04,0.04,0.04,0.05,0.04,0.04
Côte d'Ivoire,All types,4.67,4.69,4.59,4.69,4.48,4.69,3.88,3.69,4.18,4.24
Côte d'Ivoire,Beer,0.57,0.54,0.51,0.63,0.62,0.66,0.61,0.66,0.64,0.62
Côte d'Ivoire,Wine,0.26,0.29,0.35,0.34,0.34,0.24,0.21,0.15,0.12,0.25
Côte d'Ivoire,Spirits,0.04,0.04,0.04,0.04,0.04,0.05,0.02,0.01,0.02,0.02
Côte d'Ivoire,Other alcoholic beverages,3.8,3.82,3.69,3.67,3.48,3.74,3.04,2.88,3.4,3.35
Croatia,All types,14.06,14.56,14.83,13.8,13.12,11.58,11.84,12.28,12.3,12.07
Croatia,Beer,5.15,5.26,5.03,5.14,4.94,4.85,4.98,5.13,5.03,4.76
Croatia,Wine,7.07,7.42,7.95,6.81,6.5,5.08,5.2,5.5,5.62,5.66
Croatia,Spirits,1.81,1.84,1.81,1.83,1.31,1.27,1.27,1.24,1.25,1.24
Croatia,Other alcoholic beverages,0.04,0.04,0.03,0.03,0.38,0.38,0.39,0.41,0.42,0.42
Cuba,All types,3.94,4.07,4.12,4.41,4.4,4.49,4.19,4.13,4.28,4.04
Cuba,Beer,1.33,1.31,1.32,1.51,1.53,1.48,1.57,1.61,1.66,1.59
Cuba,Wine,0.04,0.05,0.05,0.05,0.05,0.05,0.07,0.06,0.08,0.09
Cuba,Spirits,2.57,2.71,2.76,2.85,2.8,2.93,2.53,2.44,2.53,2.33
Cuba,Other alcoholic beverages,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02
Cyprus,All types,9.56,10.16,11.68,10.62,13.03,11.41,11.48,11.58,12.03,10.81
Cyprus,Beer,3.69,3.71,3.5,3.56,3.6,3.62,3.58,3.71,3.9,3.69
Cyprus,Wine,2.52,2.47,2.7,2.5,2.64,2.79,2.92,2.92,2.97,2.6
Cyprus,Spirits,3.35,3.97,5.47,4.55,6.79,5,4.97,4.95,5.17,4.52
Cyprus,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Czechia,All types,13.98,13.75,13.72,13.88,13.31,13.26,13.12,13.35,13.35,13.31
Czechia,Beer,7.64,7.46,7.57,7.63,7.55,7.39,7.03,7.03,7.15,7
Czechia,Wine,2.39,2.38,2.25,2.24,2.23,2.23,2.34,2.46,2.45,2.45
